SYMBOLS,Sector,,,,,,,,
^NSEI,Index,,,,,,,,
^NSEBANK,Index,,,,,,,,
VOLTAS.NS,Air-conditioners,,,,,,,,
HINDALCO.NS,Aluminium and Aluminium Products,,,,,,,,
NATIONALUM.NS,Aluminium and Aluminium Products,,,,,,,,
BOSCHLTD.NS,Auto Ancillaries,,,,,,,,
EXIDEIND.NS,Auto Ancillaries,,,,,,,,
BAJAJ-AUTO.NS,Automobiles,,,,,,,,
EICHERMOT.NS,Automobiles,,,,,,,,
ESCORTS.NS,Automobiles,,,,,,,,
M&M.NS,Automobiles,,,,,,,,
MARUTI.NS,Automobiles,,,,,,,,
TVSMOTOR.NS,Automobiles,,,,,,,,
ASHOKLEY.NS,Automobiles ,,,,,,,,
HEROMOTOCO.NS,Automobiles ,,,,,,,,
TATAMOTORS.NS,Automobiles ,,,,,,,,
AUBANK.NS,Banks - Private Sector,,,,,,,,
AXISBANK.NS,Banks - Private Sector,,,,,,,,
BANDHANBNK.NS,Banks - Private Sector,,,,,,,,
CUB.NS,Banks - Private Sector,,,,,,,,
FEDERALBNK.NS,Banks - Private Sector,,,,,,,,
ICICIBANK.NS,Banks - Private Sector,,,,,,,,
IDFCFIRSTB.NS,Banks - Private Sector,,,,,,,,
INDUSINDBK.NS,Banks - Private Sector,,,,,,,,
KOTAKBANK.NS,Banks - Private Sector,,,,,,,,
RBLBANK.NS,Banks - Private Sector,,,,,,,,
BANKBARODA.NS,Banks - Public Sector,,,,,,,,
CANBK.NS,Banks - Public Sector,,,,,,,,
PNB.NS,Banks - Public Sector,,,,,,,,
SBIN.NS,Banks - Public Sector,,,,,,,,
MCDOWELL-N.NS,Breweries & Distilleries,,,,,,,,
UBL.NS,Breweries & Distilleries,,,,,,,,
POLYCAB.NS,Cables - Power,,,,,,,,
BHARATFORG.NS,Castings & Forgings,,,,,,,,
ACC.NS,Cement ,,,,,,,,
AMBUJACEM.NS,Cement ,,,,,,,AMARAJABAT.NS,Auto Ancillaries
DALBHARAT.NS,Cement ,,,,,,,TORNTPOWER.NS,Power Generation And Supply
INDIACEM.NS,Cement ,,,,,,,HDFCBANK.NS,Banks - Private Sector
JKCEMENT.NS,Cement ,,,,,,,MINDTREE.NS,Computers - Software 
RAMCOCEM.NS,Cement ,,,,,,,SRTRANSFIN.NS,Finance Investment
SHREECEM.NS,Cement ,,,,,,,FSL.NS,Computers - Software 
ULTRACEMCO.NS,Cement ,,,,,,,LTI.NS,Computers - Software 
AARTIIND.NS,Chemicals,,,,,,,PVR.NS,Entertainment / Electronic Media Software
DEEPAKNTR.NS,Chemicals,,,,,,,HDFC.NS,Finance Housing
NAVINFLUOR.NS,Chemicals,,,,,,,IBULHSGFIN.NS,Finance Housing
PIDILITIND.NS,Chemicals,,,,,,,,
SRF.NS,Chemicals,,,,,,,,
TATACHEM.NS,Chemicals,,,,,,,,
ITC.NS,Cigarettes,,,,,,,,
BSOFT.NS,Computers - Software ,,,,,,,,
COFORGE.NS,Computers - Software ,,,,,,,,
HCLTECH.NS,Computers - Software ,,,,,,,,
IDEA.NS,Computers - Software ,,,,,,,,
INFY.NS,Computers - Software ,,,,,,,,
INTELLECT.NS,Computers - Software ,,,,,,,,
LTTS.NS,Computers - Software ,,,,,,,,
MPHASIS.NS,Computers - Software ,,,,,,,,
