,Company2 (Y),Company1 (X),Sector,P-value,beta,intercept,std_residual,Normalised_residual,Error for that day,Correlation
9,HINDPETRO.NS,BPCL.NS,Refineries,4.38E-06,1.178703105,-153.2366704,14.58311455,-4.273684108,-60.64062058,0.969688986
0,SIEMENS.NS,ABB.NS,Electric Equipment,0.036953012,1.468726537,-1250.466102,221.9947404,-2.43984256,-540.0643416,0.966628548
15,GLENMARK.NS,DRREDDY.NS,Pharmaceuticals,0.003667965,3.30035137,2932.568367,199.7916566,2.209792928,440.7555714,0.946861111
10,IOC.NS,BPCL.NS,Refineries,0.005872207,2.375429167,151.1413209,13.66359367,2.219839465,29.64284396,0.960499312
14,PERSISTENT.NS,COFORGE.NS,Computers - Software ,0.027386576,1.437815512,-1650.253883,381.4690366,2.483267697,942.1246958,0.951087368
,,,,,,,,,,
13,HCLTECH.NS,COFORGE.NS,Computers - Software ,0.062591681,5.038052497,-1278.498411,249.1240184,-1.766056948,-435.7998683,0.952355028
22,IOC.NS,HINDPETRO.NS,Refineries,0.015911043,2.856814729,19.96210725,18.57973636,-1.714419654,-31.13078309,0.95030953
16,TORNTPHARM.NS,DRREDDY.NS,Pharmaceuticals,0.037262783,1.897002296,1536.829447,256.7030239,-1.659686748,-421.9785866,0.910611354
26,ULTRACEMCO.NS,JKCEMENT.NS,Cement ,0.000452419,2.319633946,556.8565466,337.8564068,-1.268286242,-426.0576798,0.958784839
33,TORNTPHARM.NS,SUNPHARMA.NS,Pharmaceuticals,0.073161223,2.032047831,-371.6404915,97.42488823,-0.933983132,-89.79652048,0.945114582
17,ZYDUSLIFE.NS,DRREDDY.NS,Pharmaceuticals,0.018820483,4.930928055,2354.501202,182.5899579,-0.927342863,-168.2946742,0.95582084
2,M&MFIN.NS,ABCAPITAL.NS,Finance Investment,0.004705963,1.463585943,27.26009854,17.61121289,-0.762587163,-13.41788214,0.935175573
8,LAURUSLABS.NS,BIOCON.NS,Pharmaceuticals,0.004176406,1.877299298,-88.99597554,42.19474579,-0.751888053,-31.75764107,0.888022688
31,WIPRO.NS,MPHASIS.NS,Computers - Software ,0.007564204,6.079435415,-315.7962582,128.877781,-0.594161692,-76.5628665,0.938887935
25,RBLBANK.NS,INDUSINDBK.NS,Banks - Private Sector,0.038007872,3.668084733,581.2503404,82.50894108,-0.586846577,-48.33554029,0.927014385
7,RBLBANK.NS,AXISBANK.NS,Banks - Private Sector,0.040070027,2.192346095,508.0365472,49.44666746,-0.535394755,-26.42725941,0.92666352
30,TVSMOTOR.NS,MARUTI.NS,Automobiles,0.006584651,2.147660168,6517.315928,395.5442855,-0.407461685,-160.5386252,0.905145587
27,MANAPPURAM.NS,L&TFH.NS,Finance Investment,0.011564299,1.146387231,-39.12428812,12.88859107,0.024935392,0.319554019,0.902457137
23,INDUSINDBK.NS,ICICIBANK.NS,Banks - Private Sector,0.080924296,2.121822246,-665.6156501,89.6178446,0.081981165,7.339880621,0.913277617
6,INDUSINDBK.NS,AXISBANK.NS,Banks - Private Sector,0.00516695,1.577868018,-185.236226,72.95527016,0.171686547,12.51575312,0.943419472
21,PERSISTENT.NS,HCLTECH.NS,Computers - Software ,0.002189192,7.675998913,-3979.130991,346.5296915,0.295406035,101.3973502,0.959816793
3,LUPIN.NS,ALKEM.NS,Pharmaceuticals,0.027066125,2.155569846,1660.862227,253.2996275,0.679155853,170.4878811,0.901268236
4,FEDERALBNK.NS,AXISBANK.NS,Banks - Private Sector,0.034237196,6.144408103,107.7573563,51.97491692,0.742315859,38.57133576,0.918633142
11,PNB.NS,CANBK.NS,Banks - Public Sector,0.009973019,3.661453692,105.5920986,15.06812062,0.7887214,11.75378338,0.980424382
28,TORNTPHARM.NS,LUPIN.NS,Pharmaceuticals,0.047591303,1.126731314,731.6484291,114.2398045,0.865876041,98.030832,0.923693532
19,ICICIBANK.NS,FEDERALBNK.NS,Banks - Private Sector,0.06373302,4.402461581,327.4026819,38.35146369,0.90802729,34.81472596,0.914319491
1,ZYDUSLIFE.NS,ABBOTINDIA.NS,Pharmaceuticals,0.007285839,19.17079877,11525.7763,1033.616382,1.094550893,1124.471608,0.912677112
5,IDFCFIRSTB.NS,AXISBANK.NS,Banks - Private Sector,0.035168314,6.212438032,489.8320108,49.94689966,1.137283949,56.80742356,0.925111871
24,INDUSINDBK.NS,IDFCFIRSTB.NS,Banks - Private Sector,0.026754671,10.6391804,535.5347369,70.49777917,1.223816745,86.28185522,0.947271606
20,SYNGENE.NS,GLENMARK.NS,Pharmaceuticals,0.081595989,1.840102195,-636.7970592,78.64003941,1.309610137,102.9485845,0.897369593
29,MARUTI.NS,M&M.NS,Automobiles,0.000896093,3.40691081,4639.088127,368.112208,1.317852018,484.623441,0.918414403
32,RECLTD.NS,PFC.NS,Finance - Term-Lending Institutions,0.042834193,1.102581439,-8.250893851,11.35381317,1.578465123,17.80883109,0.99466971
12,HINDCOPPER.NS,COALINDIA.NS,Mining / Minerals / Metals,0.05068229,1.172358155,89.16368591,28.07421136,1.808723805,50.32377776,0.881198414
18,MARUTI.NS,ESCORTS.NS,Automobiles,0.032277899,1.531587229,5623.767353,426.1664421,1.89984978,809.534008,0.888945938
